content_id,title,중분류,소분류,latitude,longitude
seongdong_050,뚝도지기,한식,관광식당,37.537906,127.054643
seongdong_051,뚝도청춘시장,시장,상설시장,37.537800,127.054828
seongdong_052,뚝섬미술관,전시시설,미술관/화랑,37.547206,127.048334
seongdong_053,뜻밖의 즐거움,면세점,사후면세점,37.543912,127.050201
seongdong_054,라그라스쥬얼리,면세점,사후면세점,37.543736,127.051454
seongdong_055,라온석갈비,한식,관광식당,37.545786,127.057162
seongdong_056,라프레플루트,카페/ 찻집,카페,37.547305,127.039458
seongdong_057,러쉬 성수점,면세점,사후면세점,37.542228,127.055741
seongdong_058,러프러프,카페/ 찻집,카페,37.541761,127.058281
seongdong_059,레스트앤레크레이션 성수,면세점,사후면세점,37.545124,127.048544
seongdong_060,레이더,카페/ 찻집,카페,37.543669,127.054040
seongdong_061,레이지 유스,카페/ 찻집,카페,37.565021,127.032512
seongdong_062,레퍼토리,면세점,사후면세점,37.542802,127.054915
seongdong_063,로에일 성수점,면세점,사후면세점,37.541696,127.058247
seongdong_064,로와이드(LOWIDE),카페/ 찻집,카페,37.546994,127.041060
seongdong_065,로우로우 월드와이드서울,면세점,사후면세점,37.541526,127.054417
seongdong_066,로우클래식 성수점,면세점,사후면세점,37.541299,127.058651
seongdong_067,로우키,카페/ 찻집,카페,37.544253,127.051593
seongdong_068,록멘,외국식,일식,37.542161,127.048565
seongdong_069,롯데하이마트 장한평점,면세점,사후면세점,37.561402,127.062592
seongdong_070,루프,카페/ 찻집,카페,37.544283,127.052454
seongdong_071,룩옵티컬 한대점,면세점,사후면세점,37.559556,127.040470
seongdong_072,룩옵티컬 한양대점,면세점,사후면세점,37.559556,127.040470
seongdong_073,룩캐스트 성수점,면세점,사후면세점,37.544017,127.049871
seongdong_074,르 라보 성수점,면세점,사후면세점,37.542376,127.055804
seongdong_075,르프리크,외국식,서양식,37.544439,127.052659
seongdong_076,리브나 다이닝,외국식,서양식,37.539720,127.050851
seongdong_077,리얼월드 성수,기타체험,기타체험관광,37.542215,127.058432
seongdong_078,리이 성수점,면세점,사후면세점,37.543625,127.051088
seongdong_079,리커버리커피바,카페/ 찻집,카페,37.550391,127.044871
seongdong_080,리틀포레스트,간이음식,"피자, 햄버거, 샌드위치 및 유사음식",37.548360,127.053723
seongdong_081,리틀포레한강,펜션/민박,홈스테이,37.546369,127.046835
seongdong_082,릴즈,외국식,서양식,37.569533,127.029563
